City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Dwarka,IN,2021-05-30 18:33:23,22.2394,68.9678,83.1,83,100,16.44
1,Hilo,US,2021-05-30 18:33:23,19.7297,-155.09,86.29,75,40,5.75
2,Key West,US,2021-05-30 18:31:26,24.5557,-81.7826,84.99,68,40,8.05
3,Misratah,LY,2021-05-30 18:33:24,32.3754,15.0925,72.32,68,5,9.95
4,Brae,GB,2021-05-30 18:33:24,60.3964,-1.353,48.11,87,9,11.48
5,Ribeira Grande,PT,2021-05-30 18:33:24,38.5167,-28.7,70.2,64,40,14.97
6,Yellowknife,CA,2021-05-30 18:32:12,62.456,-114.3525,45.12,65,75,9.22
7,Barrow,US,2021-05-30 18:30:36,71.2906,-156.7887,30.22,86,90,12.66
8,Nioro,GM,2021-05-30 18:33:25,13.35,-15.75,88.47,40,29,12.01
9,Bredasdorp,ZA,2021-05-30 18:33:26,-34.5322,20.0403,51.12,93,46,1.74
10,Cape Town,ZA,2021-05-30 18:32:41,-33.9258,18.4232,55.4,76,0,1.14
11,Rikitea,PF,2021-05-30 18:33:27,-23.1203,-134.9692,75.07,73,100,12.55
12,Mataura,NZ,2021-05-30 18:33:27,-46.1927,168.8643,49.48,98,100,2.89
13,Seoul,KR,2021-05-30 18:33:28,37.5683,126.9778,63.97,91,90,1.83
14,Vaini,TO,2021-05-30 18:33:28,-21.2,-175.2,73.56,100,75,3.44
15,Pisek,CZ,2021-05-30 18:33:28,49.3088,14.1475,55.11,66,7,2.3
16,Monrovia,LR,2021-05-30 18:30:25,6.3005,-10.7969,74.97,84,100,8.23
17,Chuy,UY,2021-05-30 18:33:29,-33.6971,-53.4616,55.02,48,12,11.12
18,Khatanga,RU,2021-05-30 18:33:30,71.9667,102.5,35.6,99,100,5.77
19,Inhambane,MZ,2021-05-30 18:33:30,-23.865,35.3833,71.58,83,0,4.61
20,Mahebourg,MU,2021-05-30 18:33:30,-20.4081,57.7,71.6,94,40,4.61
21,Saskylakh,RU,2021-05-30 18:33:31,71.9167,114.0833,35.64,89,100,3.42
22,San Cristobal,VE,2021-05-30 18:33:15,7.7669,-72.225,78.98,54,54,7.0
23,Hobart,AU,2021-05-30 18:30:50,-42.8794,147.3294,41.11,91,66,1.01
24,Tagusao,PH,2021-05-30 18:30:19,9.1924,117.8141,81.32,80,97,3.04
25,Ostrovnoy,RU,2021-05-30 18:33:32,68.0531,39.5131,43.02,81,100,10.63
26,Hermanus,ZA,2021-05-30 18:33:32,-34.4187,19.2345,56.89,80,93,5.61
27,Oranjestad,AW,2021-05-30 18:31:54,12.524,-70.027,85.95,62,20,19.57
28,Tiarei,PF,2021-05-30 18:33:33,-17.5333,-149.3333,78.8,73,75,16.11
29,Jalpan,MX,2021-05-30 18:33:33,21.2333,-99.4833,93.42,33,7,8.21
30,Puerto Ayora,EC,2021-05-30 18:33:34,-0.7393,-90.3518,82.36,79,14,8.99
31,Hithadhoo,MV,2021-05-30 18:33:35,-0.6,73.0833,83.52,72,15,16.78
32,Sarakhs,IR,2021-05-30 18:31:09,36.5449,61.1577,95.14,11,0,4.61
33,Road Town,VG,2021-05-30 18:33:35,18.4167,-64.6167,86.09,70,40,11.5
34,Ust-Kan,RU,2021-05-30 18:33:36,50.9276,84.761,44.82,71,0,0.54
35,Provideniya,RU,2021-05-30 18:33:36,64.3833,-173.3,45.41,45,4,11.45
36,Nizhniy Odes,RU,2021-05-30 18:33:37,63.6445,54.856,36.5,66,37,5.39
37,Atuona,PF,2021-05-30 18:32:45,-9.8,-139.0333,79.77,62,1,7.76
38,Isernia,IT,2021-05-30 18:33:37,41.6002,14.2382,66.11,83,100,5.39
39,Elat,IL,2021-05-30 18:33:38,29.5581,34.9482,89.6,13,0,8.05
40,Baldone,LV,2021-05-30 18:33:38,56.7428,24.3944,57.6,75,34,4.74
41,Lebu,CL,2021-05-30 18:33:39,-37.6167,-73.65,56.5,79,100,8.7
42,Bengkulu,ID,2021-05-30 18:33:39,-3.8004,102.2655,76.26,87,77,6.11
43,Morondava,MG,2021-05-30 18:33:40,-20.2833,44.2833,72.05,70,0,7.25
44,Taunggyi,MM,2021-05-30 18:33:40,20.7833,97.0333,65.23,92,100,3.44
45,Chake Chake,TZ,2021-05-30 18:33:40,-5.2459,39.7666,74.95,86,10,7.45
46,Kudahuvadhoo,MV,2021-05-30 18:33:41,2.6708,72.8944,83.82,73,33,21.03
47,Kashi,CN,2021-05-30 18:33:41,39.4547,75.9797,76.21,19,100,8.52
48,Dawson Creek,CA,2021-05-30 18:30:10,55.7666,-120.2362,65.84,32,1,9.22
49,Severo-Kurilsk,RU,2021-05-30 18:33:42,50.6789,156.125,38.52,97,100,17.45
50,Antalaha,MG,2021-05-30 18:33:42,-14.9003,50.2788,71.56,91,12,5.97
51,Ushuaia,AR,2021-05-30 18:32:00,-54.8,-68.3,31.66,100,75,4.61
52,Kirsanov,RU,2021-05-30 18:33:43,52.6549,42.7224,49.96,90,100,14.58
53,Bluff,NZ,2021-05-30 18:33:43,-46.6,168.3333,49.8,93,100,22.46
54,Saint-Philippe,RE,2021-05-30 18:33:43,-21.3585,55.7679,71.15,85,6,6.29
55,Dikson,RU,2021-05-30 18:33:44,73.5069,80.5464,30.34,93,100,6.71
56,College,US,2021-05-30 18:30:11,64.8569,-147.8028,58.08,55,75,5.75
57,Pangkalanbuun,ID,2021-05-30 18:33:44,-2.6833,111.6167,75.18,94,99,1.25
58,Genhe,CN,2021-05-30 18:33:45,50.7833,121.5167,43.3,95,100,2.15
59,Cabo San Lucas,MX,2021-05-30 18:33:45,22.8909,-109.9124,96.8,47,1,4.61
60,Waipawa,NZ,2021-05-30 18:33:46,-41.4122,175.5153,48.11,92,100,5.44
61,Sibolga,ID,2021-05-30 18:33:46,1.7427,98.7792,75.99,90,97,2.84
62,Kushiro,JP,2021-05-30 18:33:46,42.975,144.3747,42.19,88,100,9.15
63,Sokol,RU,2021-05-30 18:33:47,59.4617,40.1206,38.48,68,3,5.55
64,Loughrea,IE,2021-05-30 18:33:47,53.1969,-8.5669,69.8,52,75,9.22
65,Marawi,PH,2021-05-30 18:33:47,7.9986,124.2928,67.64,93,100,1.74
66,Srednekolymsk,RU,2021-05-30 18:33:48,67.45,153.6833,57.27,39,9,7.63
67,Axim,GH,2021-05-30 18:33:48,4.8699,-2.2405,80.69,81,100,8.75
68,Kargasok,RU,2021-05-30 18:33:49,59.0556,80.8572,57.94,87,20,6.87
69,Riyadh,SA,2021-05-30 18:31:15,24.6877,46.7219,96.94,10,0,9.4
70,Portland,US,2021-05-30 18:28:54,45.5234,-122.6762,74.05,53,75,3.0
71,Innisfail,AU,2021-05-30 18:33:49,-17.5333,146.0333,66.61,92,100,5.39
72,Albany,US,2021-05-30 18:29:19,42.6001,-73.9662,50.0,84,100,5.73
73,Port Elizabeth,ZA,2021-05-30 18:29:22,-33.918,25.5701,59.09,72,0,8.05
74,Pacifica,US,2021-05-30 18:33:50,37.6138,-122.4869,69.01,63,20,4.61
75,Bambous Virieux,MU,2021-05-30 18:33:51,-20.3428,57.7575,73.22,94,40,7.0
76,Pattaya,TH,2021-05-30 18:33:51,12.9333,100.8833,88.88,74,3,14.16
77,Kumluca,TR,2021-05-30 18:33:51,36.3703,30.2869,70.3,83,12,6.33
78,Tuatapere,NZ,2021-05-30 18:33:52,-46.1333,167.6833,50.0,79,100,5.01
79,Narsaq,GL,2021-05-30 18:33:52,60.9167,-46.05,48.42,61,4,2.48
80,Celestun,MX,2021-05-30 18:33:53,20.8667,-90.4,86.9,60,5,12.55
81,Cherskiy,RU,2021-05-30 18:33:11,68.75,161.3,55.24,38,0,7.27
82,San Pedro,PH,2021-05-30 18:33:54,14.35,121.0167,84.2,79,20,3.44
83,Mareeba,AU,2021-05-30 18:33:54,-17.0,145.4333,64.44,94,96,2.86
84,Lorengau,PG,2021-05-30 18:33:55,-2.0226,147.2712,80.29,84,100,7.76
85,Batamshinskiy,KZ,2021-05-30 18:33:55,50.5594,58.2747,69.78,62,0,7.11
86,Talnakh,RU,2021-05-30 18:33:55,69.4865,88.3972,37.26,87,100,26.57
87,Itapetinga,BR,2021-05-30 18:33:56,-15.2489,-40.2478,87.12,37,11,5.82
88,Chabahar,IR,2021-05-30 18:33:56,25.2919,60.643,86.47,75,0,8.99
89,Tasiilaq,GL,2021-05-30 18:33:56,65.6145,-37.6368,39.36,81,100,13.42
90,Nikolskoye,RU,2021-05-30 18:33:57,59.7035,30.7861,53.49,63,0,2.59
91,Bandarbeyla,SO,2021-05-30 18:33:57,9.4942,50.8122,79.2,85,96,29.12
92,Ayagoz,KZ,2021-05-30 18:33:58,47.9714,80.4392,54.59,45,33,8.19
93,Okhotsk,RU,2021-05-30 18:33:58,59.3833,143.3,37.33,94,100,6.17
94,Mahibadhoo,MV,2021-05-30 18:33:59,3.7833,72.9667,83.79,71,100,20.42
95,Pisco,PE,2021-05-30 18:33:59,-13.7,-76.2167,64.45,94,90,5.75
96,New Norfolk,AU,2021-05-30 18:34:00,-42.7826,147.0587,40.75,88,53,2.95
97,Busselton,AU,2021-05-30 18:34:01,-33.65,115.3333,55.09,69,100,13.76
98,Ahuimanu,US,2021-05-30 18:34:01,21.4447,-157.8378,78.85,68,40,0.0
99,Veraval,IN,2021-05-30 18:34:02,20.9,70.3667,82.89,79,99,11.63
100,High Rock,BS,2021-05-30 18:34:02,26.6208,-78.2833,84.2,61,75,10.36
101,Leshukonskoye,RU,2021-05-30 18:34:03,64.8989,45.7622,36.63,69,56,4.68
102,Kodiak,US,2021-05-30 18:34:03,57.79,-152.4072,48.2,87,90,4.61
103,Salalah,OM,2021-05-30 18:34:04,17.0151,54.0924,84.29,84,40,10.36
104,Barcelona,ES,2021-05-30 18:31:09,41.3888,2.159,75.34,68,20,1.01
105,Hofn,IS,2021-05-30 18:34:04,64.2539,-15.2082,46.67,99,100,18.9
106,Gardabani,GE,2021-05-30 18:34:05,41.4605,45.0928,69.89,61,0,12.12
107,Ola,RU,2021-05-30 18:33:10,59.5833,151.2833,35.67,98,100,3.6
108,Victoria,HK,2021-05-30 18:33:31,22.2855,114.1577,86.38,89,100,1.01
109,San Luis De Palenque,CO,2021-05-30 18:34:05,5.4214,-71.7317,83.01,73,93,8.21
110,Tuktoyaktuk,CA,2021-05-30 18:33:44,69.4541,-133.0374,39.2,56,20,11.5
111,Qaanaaq,GL,2021-05-30 18:34:06,77.484,-69.3632,32.23,93,100,5.21
112,Clyde River,CA,2021-05-30 18:34:06,70.4692,-68.5914,30.2,80,75,4.61
113,Ugra,RU,2021-05-30 18:34:07,54.7777,34.3267,45.75,62,99,8.16
114,Upernavik,GL,2021-05-30 18:34:06,72.7868,-56.1549,31.69,92,100,5.7
115,Arman,RU,2021-05-30 18:34:07,59.7,150.1667,36.95,98,100,4.99
116,Mayya,RU,2021-05-30 18:34:07,61.7333,130.2811,47.52,93,100,3.58
117,Avarua,CK,2021-05-30 18:34:08,-21.2078,-159.775,68.05,83,51,2.3
118,Nouadhibou,MR,2021-05-30 18:29:27,20.931,-17.0347,71.58,73,88,17.27
119,Mercedes,AR,2021-05-30 18:34:08,-34.6515,-59.4307,63.03,49,0,8.14
120,Bure,ET,2021-05-30 18:34:09,10.7,37.0667,66.67,30,7,4.81
121,Ust-Maya,RU,2021-05-30 18:34:09,60.4167,134.5333,49.48,77,86,5.86
122,Kosonsoy,UZ,2021-05-30 18:34:09,41.2561,71.5508,73.96,46,0,8.66
123,Kapaa,US,2021-05-30 18:34:10,22.0752,-159.319,80.19,71,1,3.71
124,Grand Gaube,MU,2021-05-30 18:34:10,-20.0064,57.6608,73.38,83,51,3.0
125,Margate,GB,2021-05-30 18:34:10,51.3813,1.3862,56.91,75,6,4.0
126,Norrtalje,SE,2021-05-30 18:33:15,59.758,18.705,68.09,63,7,7.05
127,Sarrebourg,FR,2021-05-30 18:34:11,48.7333,7.05,68.05,71,0,8.77
128,Mount Gambier,AU,2021-05-30 18:34:11,-37.8333,140.7667,40.91,81,8,10.36
129,Nicolas Bravo,MX,2021-05-30 18:34:11,18.45,-88.9167,89.96,30,55,7.67
130,Zhigansk,RU,2021-05-30 18:34:12,66.7697,123.3711,47.41,61,0,10.74
131,Burhaniye,TR,2021-05-30 18:34:12,39.5004,26.9727,73.26,60,75,8.05
132,Chokurdakh,RU,2021-05-30 18:34:13,70.6333,147.9167,54.73,41,43,9.84
133,East London,ZA,2021-05-30 18:34:13,-33.0153,27.9116,51.8,87,0,6.91
134,Lavrentiya,RU,2021-05-30 18:34:14,65.5833,-171.0,34.74,79,8,10.85
135,Gracac,HR,2021-05-30 18:34:14,44.3006,15.8547,58.75,66,0,8.97
136,Shache,CN,2021-05-30 18:34:15,38.4167,77.2406,77.2,27,100,8.86
137,Anadyr,RU,2021-05-30 18:34:15,64.75,177.4833,41.0,70,0,8.95
138,Vila Franca Do Campo,PT,2021-05-30 18:30:21,37.7167,-25.4333,66.61,71,8,9.48
139,Geraldton,AU,2021-05-30 18:34:16,-28.7667,114.6,57.61,88,75,18.99
140,Tarauaca,BR,2021-05-30 18:34:16,-8.1614,-70.7656,86.02,66,31,2.91
141,Vao,NC,2021-05-30 18:34:16,-22.6667,167.4833,69.93,56,61,16.69
142,Thaba Nchu,ZA,2021-05-30 18:34:17,-29.2093,26.839,40.78,45,49,4.7
143,Tamale,GH,2021-05-30 18:33:19,9.4008,-0.8393,79.75,67,44,9.78
144,Saint George,US,2021-05-30 18:34:17,37.1041,-113.5841,93.67,12,1,1.99
145,Talcahuano,CL,2021-05-30 18:34:17,-36.7167,-73.1167,58.68,67,75,4.61
146,Cortona,IT,2021-05-30 18:34:18,43.2745,11.9871,64.99,41,4,6.49
147,Tairua,NZ,2021-05-30 18:34:18,-37.0167,175.85,55.18,89,88,8.14
148,Ilulissat,GL,2021-05-30 18:34:19,69.2167,-51.1,44.62,42,100,4.61
149,Dandong,CN,2021-05-30 18:31:52,40.1292,124.3947,53.94,77,0,4.56
150,Coari,BR,2021-05-30 18:34:20,-4.085,-63.1414,85.41,65,84,2.39
151,Mahenge,TZ,2021-05-30 18:34:20,-8.6833,36.7167,60.6,60,53,2.48
152,Pleshanovo,RU,2021-05-30 18:29:26,52.8333,53.4833,68.22,73,30,7.9
153,Isangel,VU,2021-05-30 18:34:21,-19.55,169.2667,70.16,77,70,6.67
154,Aklavik,CA,2021-05-30 18:34:21,68.2191,-135.0107,43.63,52,20,13.8
155,Nelson Bay,AU,2021-05-30 18:34:21,-32.7167,152.15,57.0,91,94,1.01
156,Katsuura,JP,2021-05-30 18:34:22,35.1333,140.3,66.31,79,0,12.84
157,Ponta Do Sol,PT,2021-05-30 18:34:22,32.6667,-17.1,69.71,79,39,6.08
158,Raudeberg,NO,2021-05-30 18:34:22,61.9875,5.1352,56.98,84,73,11.7
159,Algiers,DZ,2021-05-30 18:34:23,36.7525,3.042,67.82,78,75,10.85
160,Souillac,MU,2021-05-30 18:34:23,-20.5167,57.5167,73.36,94,40,6.91
161,Marsa Matruh,EG,2021-05-30 18:34:23,31.3525,27.2453,86.2,42,0,11.5
162,Sao Joao Da Barra,BR,2021-05-30 18:34:24,-21.6403,-41.0511,82.49,82,95,12.75
163,Bratsk,RU,2021-05-30 18:34:24,56.1325,101.6142,34.29,99,100,1.61
164,Port Alfred,ZA,2021-05-30 18:34:25,-33.5906,26.891,58.53,64,100,8.75
165,Mar Del Plata,AR,2021-05-30 18:34:25,-38.0023,-57.5575,57.99,42,0,1.01
166,Fukue,JP,2021-05-30 18:34:26,32.6881,128.8419,68.07,72,0,5.26
167,Salinas,US,2021-05-30 18:30:37,36.6777,-121.6555,79.2,66,1,4.61
168,Butaritari,KI,2021-05-30 18:34:26,3.0707,172.7902,82.87,77,100,14.7
169,Flinders,AU,2021-05-30 18:30:16,-34.5833,150.8552,54.21,82,0,1.01
170,Fortuna,US,2021-05-30 18:32:23,40.5982,-124.1573,61.86,76,100,1.99
171,Nurota,UZ,2021-05-30 18:34:27,40.5614,65.6886,80.69,18,0,5.03
172,Georgetown,MY,2021-05-30 18:34:27,5.4112,100.3354,82.89,86,40,1.01
173,Puro,PH,2021-05-30 18:34:28,12.4841,123.3827,82.26,76,97,1.63
174,Alcazar De San Juan,ES,2021-05-30 18:34:28,39.3901,-3.2083,85.71,25,100,8.14
175,Sitka,US,2021-05-30 18:34:29,57.0531,-135.33,51.8,82,90,4.61
176,Ajdabiya,LY,2021-05-30 18:34:30,30.7554,20.2263,79.86,36,0,13.33
177,Saldanha,ZA,2021-05-30 18:34:30,-33.0117,17.9442,53.6,82,100,3.44
178,Lata,PT,2021-05-30 18:33:51,40.1629,-8.3327,73.35,65,56,3.62
179,La Ronge,CA,2021-05-30 18:33:56,55.1001,-105.2842,62.6,39,32,4.61
180,Deming,US,2021-05-30 18:34:31,32.2687,-107.7586,86.18,4,1,6.91
181,Thinadhoo,MV,2021-05-30 18:34:31,0.5333,72.9333,83.21,73,24,17.56
182,Codrington,AU,2021-05-30 18:34:32,-38.2667,141.9667,40.3,66,5,8.23
183,Paka,MY,2021-05-30 18:34:32,4.6374,103.4368,78.73,94,30,6.08
184,Hualmay,PE,2021-05-30 18:34:33,-11.0964,-77.6139,69.39,75,22,10.98
185,Te Anau,NZ,2021-05-30 18:34:33,-45.4167,167.7167,47.79,95,100,6.46
186,Faya,SA,2021-05-30 18:34:33,18.3851,42.4509,73.51,26,19,6.93
187,Pacific Grove,US,2021-05-30 18:33:39,36.6177,-121.9166,78.8,79,20,1.01
188,Prieska,ZA,2021-05-30 18:34:34,-29.6641,22.7474,51.22,36,0,3.02
189,Jeremie,HT,2021-05-30 18:34:34,18.65,-74.1167,82.94,71,24,2.59
190,Taoudenni,ML,2021-05-30 18:34:35,22.6783,-3.9836,108.86,7,100,3.67
191,Dongsheng,CN,2021-05-30 18:34:35,39.8161,109.9776,67.28,24,100,15.19
192,Tonj,SS,2021-05-30 18:34:35,7.2737,28.6822,81.63,55,36,4.81
193,Rabo De Peixe,PT,2021-05-30 18:34:36,37.8,-25.5833,65.71,63,20,11.05
194,Norman Wells,CA,2021-05-30 18:34:36,65.282,-126.8329,42.84,75,75,14.97
